MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
diable	devil	Teufel	Q6674	https://www.wikidata.org/wiki/Q6674	diable	devil	Teufel	DEL
dialogue	dialogue	Dialog	Q131395	https://www.wikidata.org/wiki/Q131395	Dialogue	Dialogue	Dialog	DEL
dictionnaire	dictionary	Wörterbuch	Q23622	https://www.wikidata.org/wiki/Q23622	dictionnaire	dictionary	Wörterbuch	DEL
Dieu	God	Gott	Q190	https://www.wikidata.org/wiki/Q190	Dieu	God	Gott	DEL
difformité	deformity	Deformität	Q1182746	https://www.wikidata.org/wiki/Q1182746	difformité	deformity	Deformität	DEL
dilettantisme	dilettantism	Dilettantismus	Q16027925	https://www.wikidata.org/wiki/Q16027925	x	dilettantism	Dilettantismus	DEL
domestique	domestic worker	Hauspersonal	Q54128	https://www.wikidata.org/wiki/Q54128	domestique	domestic worker	Hauspersonal	DEL
drame	drama	Drama	Q25372	https://www.wikidata.org/wiki/Q25372	drame	drama	Drama	DEL
droit	law	Recht	Q7748	https://www.wikidata.org/wiki/Q7748	droit	law	Recht	Seklit
droit naturel	natural law	Naturrecht	Q29524	https://www.wikidata.org/wiki/Q29524	Droit naturel	Natural law	Naturrecht	DEL
droit public	public law	öffentliches Recht	Q207892	https://www.wikidata.org/wiki/Q207892	droit public	Public law	öffentliches Recht	DEL
droits de l'homme	human rights	Menschenrechte	Q8458	https://www.wikidata.org/wiki/Q8458	droits humains	human rights	Menschenrechte	DEL
dystopie	dystopia	Dystopie	Q180774	https://www.wikidata.org/wiki/Q180774	dystopie	dystopia	Dystopie	Seklit
éclectisme	eclecticism	Eklektizismus	Q192068	https://www.wikidata.org/wiki/Q192068	éclecticisme	eclecticism	Eklektizismus	DEL
économie	economy	Wirtschaft	Q159810	https://www.wikidata.org/wiki/Q159810	économie	economy	Wirtschaft	DEL
Écosse	Scotland	Schottland	Q22	https://www.wikidata.org/wiki/Q22	Écosse	Scotland	Schottland	DEL
écriture	writing	Schreiben	Q37260	https://www.wikidata.org/wiki/Q37260	écriture	writing	Schreiben	Seklit
éducation	education	Ausbildung	Q8434	https://www.wikidata.org/wiki/Q8434	éducation	education	Ausbildung	DEL
égalité	equality	Gleichheit	Q773009	https://www.wikidata.org/wiki/Q773009	égalité	equality	Gleichheit	DEL
égoïsme	egoism	Egoismus	Q238350	https://www.wikidata.org/wiki/Q238350	égoïsme	egoism	Egoismus	Seklit
égyptomanie	egyptomania	Ägyptomanie	Q254272	https://www.wikidata.org/wiki/Q254272	égyptomanie	egyptomania	Ägyptomanie	DEL
électricité	electricity	Elektrizität	Q12725	https://www.wikidata.org/wiki/Q12725	électricité	electricity	Elektrizität	DEL
éloquence	eloquence	Eloquenz	Q1489271	https://www.wikidata.org/wiki/Q1489271	éloquence	eloquence	Sprachfertigkeit	DEL
