DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (de)	Wikidata Label (en)
"originalité "	Q2914681	https://www.wikidata.org/wiki/Q2914681	"originalité "	Originalität	originality
alimentation	Q213449	https://www.wikidata.org/wiki/Q213449	alimentation	Essen	eating
"pantomime "	Q13409536	https://www.wikidata.org/wiki/Q13409536	pantomime	Englische Pantomime	pantomime
"parade "	Q657449	https://www.wikidata.org/wiki/Q657449	défilé	Parade	parade
paradoxe	Q483372	https://www.wikidata.org/wiki/Q483372	paradoxe	Paradoxon	paradox
parodie	Q170539	https://www.wikidata.org/wiki/Q170539	parodie	Parodie	parody
"passion  "	Q335046	https://www.wikidata.org/wiki/Q335046	Passion	Leidenschaft	passion
patriotisme	Q6241	https://www.wikidata.org/wiki/Q6241	patriotisme	Patriotismus	patriotism
paysage	Q107425	https://www.wikidata.org/wiki/Q107425	paysage	Landschaft	landscape
"paysannerie "	Q838811	https://www.wikidata.org/wiki/Q838811	"paysannerie "	Landarbeiter	farmer
pédagogie	Q7922	https://www.wikidata.org/wiki/Q7922	pédagogie	Pädagogik	pedagogy
"peinture "	Q3305213	https://www.wikidata.org/wiki/Q3305213	peinture	Gemälde	painting
perfectibilité	Q378701	https://www.wikidata.org/wiki/Q378701	perfection	Vollkommenheit	perfection
"perspective "	Q1900281	https://www.wikidata.org/wiki/Q1900281	perspective	Perspektive	perspective
"peuple "	Q2472587	https://www.wikidata.org/wiki/Q2472587	peuple	Volk	people
philosophie	Q5891	https://www.wikidata.org/wiki/Q5891	philosophie	Philosophie	philosophy
"physiognomonie "	Q841933	https://www.wikidata.org/wiki/Q841933	physiognomonie	Physiognomie	physiognomy
"physiologie "	Q521	https://www.wikidata.org/wiki/Q521	physiologie	Physiologie	physiology
"physique expérimentale "	Q18366	https://www.wikidata.org/wiki/Q18366	"physique expérimentale "	Experimentalphysik	Experimental physics
"piétisme "	Q193664	https://www.wikidata.org/wiki/Q193664	"piétisme "	Pietismus	Pietism
"pittoresque "	Q1627825	https://www.wikidata.org/wiki/Q1627825	pittoresque	Picturesque	picturesque
poésie	Q482	https://www.wikidata.org/wiki/Q482	poésie	Poesie	poetry
"police "	Q35535	https://www.wikidata.org/wiki/Q35535	police	Polizei	police
"Pologne "	Q36	https://www.wikidata.org/wiki/Q36	Pologne	Polen	Poland
"portrait "	Q134307	https://www.wikidata.org/wiki/Q134307	portrait	Porträt	portrait
port	Q44782	https://www.wikidata.org/wiki/Q44782	Port	Hafen	port
Portugal	Q45	https://www.wikidata.org/wiki/Q45	Portugal	Portugal	Portugal
"pouvoir "	Q25107	https://www.wikidata.org/wiki/Q25107	pouvoir	Macht	power
préjugé	Q179742	https://www.wikidata.org/wiki/Q179742	préjugé	Vorurteil	prejudice
probabilié	Q9492	https://www.wikidata.org/wiki/Q9492	probabilié	Wahrscheinlichkeit	probability
"progrès "	Q247792	https://www.wikidata.org/wiki/Q247792	"progrès "	Fortschritt	progress
propriété	Q1400881	https://www.wikidata.org/wiki/Q1400881	propriété	Eigentum	property
"protestantisme "	Q23540	https://www.wikidata.org/wiki/Q23540	protestanisme	Protestantismus	Protestanism
"proverbe "	Q35102	https://www.wikidata.org/wiki/Q35102	proverbe	Sprichwort	proverb
"providence "	Q866338	https://www.wikidata.org/wiki/Q866338	providence	Vorsehung	providence
"raison "	Q178354	https://www.wikidata.org/wiki/Q178354	raison	Vernunft	reason
