				P8	P52	P59	FR	EN	DE						P25	P2	P2RP14
Sens	Sens	Sens	Q212420	https://www.wikidata.org/wiki/Q212420		48.197222222222,3.2833333333333	Sens	Sens	Sens								
Indes orientales	East Indies		Q213137	https://www.wikidata.org/wiki/Q213137		1,103	Indes orientales	East Indies									
Béarn	Béarn	Béarn	Q213763	https://www.wikidata.org/wiki/Q213763		43.3,-0.366667	Béarn	Béarn	Béarn								
Saint-Romain-le-Preux	Saint-Romain-le-Preux	Saint-Romain-le-Preux	Q214362	https://www.wikidata.org/wiki/Q214362		47.933888888889,3.2419444444444	Saint-Romain-le-Preux	Saint-Romain-le-Preux	Saint-Romain-le-Preux								
Chica	Chica	Playa Chica	Q21476034	https://www.wikidata.org/wiki/Q21476034		-62.45,-60.8	Chica	Chica	Playa Chica								
Gercourt-et-Drillancourt	Gercourt-et-Drillancourt	Gercourt-et-Drillancourt	Q217293	https://www.wikidata.org/wiki/Q217293		49.285,5.2380555555556	Gercourt-et-Drillancourt	Gercourt-et-Drillancourt	Gercourt-et-Drillancourt								
Bulgarie	Bulgaria	Bulgarien	Q219	https://www.wikidata.org/wiki/Q219		42.75,25.5	Bulgarie	Bulgaria	Bulgarien								
Écosse	Scotland	Schottland	Q22	https://www.wikidata.org/wiki/Q22		57,-5	Écosse	Scotland	Schottland	DEL	exact match						
Rome	Rome	Rom	Q220	https://www.wikidata.org/wiki/Q220		41.893055555556,12.482777777778	Rome	Rome	Rom								
parc	park	Park	Q22698	https://www.wikidata.org/wiki/Q22698			parc	park	Park								
Bath	Bath	Bath	Q22889	https://www.wikidata.org/wiki/Q22889		51.381389,-2.358611	Bath	Bath	Bath								
Chypre	Cyprus	Republik Zypern	Q229	https://www.wikidata.org/wiki/Q229		35,33	Chypre	Cyprus	Republik Zypern								
Géorgie	Georgia	Georgien	Q230	https://www.wikidata.org/wiki/Q230		42.016669444444,43.733330555556	Géorgie	Georgia	Georgien								
Cornouailles	Cornwall	Cornwall	Q23148	https://www.wikidata.org/wiki/Q23148		50.3,-4.9	Cornouailles	Cornwall	Cornwall								
Bristol	Bristol	Bristol	Q23154	https://www.wikidata.org/wiki/Q23154		51.45,-2.5833333333333	Bristol	Bristol	Bristol								
Kent	Kent	Kent	Q23298	https://www.wikidata.org/wiki/Q23298		51.19,0.73	Kent	Kent	Kent								
Flandre	Flanders	Flandern	Q234	https://www.wikidata.org/wiki/Q234		51,4.5	Flandre	Flanders	Flandern								
Ancien Régime	Ancien Régime	Ancien Régime	Q234081	https://www.wikidata.org/wiki/Q234081			Ancien Régime	Ancien Régime	Ancien Régime	Seklit	exact match						
île	island	Insel	Q23442	https://www.wikidata.org/wiki/Q23442			île	island	Insel	DEL	exact match						
Marseille	Marseille	Marseille	Q23482	https://www.wikidata.org/wiki/Q23482		43.296666666667,5.3763888888889	Marseille	Marseille	Marseille								
Balkans	Balkans	Balkan	Q23522		https://www.wikidata.org/wiki/Q23522	42,22	Balkans	Balkans	Balkanhalbinsel	DEL	close match						
Tibéré	Tibéré		Q23663811	https://www.wikidata.org/wiki/Q23663811		6.0666666666667,14.316666666667	Tibéré	Tibéré									
France au Moyen Âge	France in the Middle Ages	Frankreich im Mittelalter	Q237131	https://www.wikidata.org/wiki/Q237131			France au Moyen Âge	France in the Middle Ages	Frankreich im Mittelalter								
Palestine	Palestine	Palästina	Q23792	https://www.wikidata.org/wiki/Q23792		31.625321,35.145264	Palestine	Palestine	Palästina								
Bruxelles	City of Brussels	Brüssel	Q239	https://www.wikidata.org/wiki/Q239		50.846666666666664,4.351666666666667	Bruxelles	City of Brussels	Brüssel								
Cuba	Cuba	Kuba	Q241	https://www.wikidata.org/wiki/Q241		22,-79.5	Cuba	Cuba	Kuba								
Ormuz	Ormus	Ormus (Reich)	Q2478280	https://www.wikidata.org/wiki/Q2478280		27.1,56.45	Ormuz	Ormus	Ormus (Reich)								
pays de Galles	Wales	Wales	Q25	https://www.wikidata.org/wiki/Q25		52.35,-3.6333333333333	pays de Galles	Wales	Wales								
Hispaniola	Hispaniola	Hispaniola	Q25277	https://www.wikidata.org/wiki/Q25277		19,-71	Hispaniola	Hispaniola	Hispaniola								
vallée de Tempé	Vale of Tempe	Tempe	Q258540	https://www.wikidata.org/wiki/Q258540		39.872778,22.546667	vallée de Tempé	Vale of Tempe	Tempe								
Algérie	Algeria	Algerien	Q262	https://www.wikidata.org/wiki/Q262		28,1	Algérie	Algeria	Algerien								
Madère	Madeira	Autonome Region Madeira	Q26253	https://www.wikidata.org/wiki/Q26253		32.75,-17	Madère	Madeira	Autonome Region Madeira								
Naples	Naples	Neapel	Q2634	https://www.wikidata.org/wiki/Q2634		40.833333333333,14.25	Naples	Naples	Neapel								
Palerme	Palermo	Palermo	Q2656	https://www.wikidata.org/wiki/Q2656		38.115658,13.361262	Palerme	Palermo	Palermo								
Phocide	Phocis Prefecture	Fokida	Q26915	https://www.wikidata.org/wiki/Q26915		38.5,22.25	Phocide	Phocis Prefecture	Fokida								
Irlande	Ireland	Irland	Q27	https://www.wikidata.org/wiki/Q27		53,-8	Irlande	Ireland	Irland								
Varsovie	Warsaw	Warschau	Q270	https://www.wikidata.org/wiki/Q270		52.216666666667,21.033333333333	Varsovie	Warsaw	Warschau								
Asie centrale	Central Asia	Zentralasien	Q27275	https://www.wikidata.org/wiki/Q27275		45.3,63.9	Asie centrale	Central Asia	Zentralasien								
Afrique du Nord	North Africa	Nordafrika	Q27381	https://www.wikidata.org/wiki/Q27381		30.440741666667,9.6817138888889	Afrique du Nord	North Africa	Nordafrika								
Münster	Münster	Münster	Q2742	https://www.wikidata.org/wiki/Q2742		51.9625,7.6255555555556	Münster	Münster	Münster								
Modène	Modena	Modena	Q279	https://www.wikidata.org/wiki/Q279		44.64582,10.92572	Modène	Modena	Modena								
Hongrie	Hungary	Ungarn	Q28	https://www.wikidata.org/wiki/Q28		47,19	Hongrie	Hungary	Ungarn	DEL	exact match						
Madrid	Madrid	Madrid	Q2807	https://www.wikidata.org/wiki/Q2807		40.418888888889,-3.6919444444444	Madrid	Madrid	Madrid								
Tours	Tours	Tours	Q288	https://www.wikidata.org/wiki/Q288		47.392777777778,0.68833333333333	Tours	Tours	Tours								
